,tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
3,tt0004972,movie,The Birth of a Nation,1915,195,"Drama,History,War",6.2,24927
4,tt0006864,movie,Intolerance,1916,163,"Drama,History",7.7,15698
5,tt0009968,movie,Broken Blossoms,1919,90,"Drama,Romance",7.3,10439
6,tt0010323,movie,The Cabinet of Dr. Caligari,1920,76,"Horror,Mystery,Thriller",8.0,64369
7,tt0012349,movie,The Kid,1921,68,"Comedy,Drama,Family",8.3,126642
8,tt0012364,movie,The Phantom Carriage,1921,107,"Drama,Fantasy,Horror",8.0,12688
9,tt0013257,movie,Häxan,1922,91,"Documentary,Fantasy,Horror",7.6,14746
10,tt0013427,movie,Nanook of the North,1922,78,Documentary,7.6,12452
11,tt0013442,movie,Nosferatu,1922,94,"Fantasy,Horror",7.9,97990
12,tt0014341,movie,Our Hospitality,1923,65,"Comedy,Romance,Thriller",7.8,11447
13,tt0014429,movie,Safety Last!,1923,74,"Action,Comedy,Thriller",8.1,20909
14,tt0015064,movie,The Last Laugh,1924,77,Drama,8.0,14178
15,tt0015163,movie,The Navigator,1924,59,"Action,Comedy,Romance",7.6,10114
16,tt0015324,movie,Sherlock Jr.,1924,45,"Action,Comedy,Romance",8.2,50296
17,tt0015648,movie,Battleship Potemkin,1925,75,"Drama,History,Thriller",8.0,58062
18,tt0015864,movie,The Gold Rush,1925,95,"Adventure,Comedy,Drama",8.2,111633
19,tt0015881,movie,Greed,1924,140,"Drama,Thriller,Western",8.1,10079
20,tt0016220,movie,The Phantom of the Opera,1925,93,Horror,7.5,18677
21,tt0016332,movie,Seven Chances,1925,56,"Comedy,Romance",7.8,10496
22,tt0016847,movie,Faust,1926,107,"Drama,Fantasy,Horror",8.1,15449
23,tt0017075,movie,The Lodger: A Story of the London Fog,1927,92,"Crime,Drama,Mystery",7.3,12135
24,tt0017136,movie,Metropolis,1927,153,"Drama,Sci-Fi",8.3,174502
25,tt0017925,movie,The General,1926,67,"Action,Adventure,Comedy",8.2,91695
26,tt0018037,movie,The Jazz Singer,1927,88,"Drama,Music,Musical",6.4,10170
27,tt0018455,movie,Sunrise,1927,94,"Drama,Romance",8.1,51259
28,tt0018578,movie,Wings,1927,144,"Action,Drama,Romance",7.6,13109
29,tt0018737,movie,Pandora's Box,1929,109,"Crime,Drama,Romance",7.8,10946
30,tt0018742,movie,The Cameraman,1928,76,"Comedy,Drama,Family",8.0,11956
31,tt0018773,movie,The Circus,1928,72,"Comedy,Family,Romance",8.1,33995
32,tt0019254,movie,The Passion of Joan of Arc,1928,110,"Biography,Drama,History",8.2,55099
33,tt0019421,movie,"Steamboat Bill, Jr.",1928,70,"Action,Comedy,Drama",7.8,14857
34,tt0019702,movie,Blackmail,1929,85,"Crime,Thriller",6.9,10873
35,tt0019760,movie,Man with a Movie Camera,1929,68,"Documentary,Music",8.4,25285
37,tt0020629,movie,All Quiet on the Western Front,1930,152,"Drama,War",8.1,62181
38,tt0020640,movie,Animal Crackers,1930,97,"Comedy,Family,Musical",7.4,14601
39,tt0020697,movie,The Blue Angel,1930,104,"Drama,Music",7.7,15239
40,tt0021079,movie,Little Caesar,1931,79,"Action,Crime,Drama",7.2,13480
41,tt0021577,movie,L'Age d'Or,1930,60,"Comedy,Drama",7.2,14045
42,tt0021749,movie,City Lights,1931,87,"Comedy,Drama,Romance",8.5,184678
43,tt0021814,movie,Dracula,1931,75,"Drama,Fantasy,Horror",7.4,53407
44,tt0021884,movie,Frankenstein,1931,70,"Drama,Horror,Sci-Fi",7.8,73456
45,tt0022100,movie,M,1931,117,"Crime,Mystery,Thriller",8.3,158101
46,tt0022158,movie,Monkey Business,1931,77,"Comedy,Family,Musical",7.4,13687
47,tt0022286,movie,The Public Enemy,1931,83,"Crime,Drama",7.6,21414
48,tt0022835,movie,Dr. Jekyll and Mr. Hyde,1931,98,"Horror,Sci-Fi",7.6,14141
49,tt0022913,movie,Freaks,1932,64,"Drama,Horror",7.8,46930
50,tt0022958,movie,Grand Hotel,1932,112,"Drama,Romance",7.3,19538
51,tt0023027,movie,Horse Feathers,1932,68,"Comedy,Family,Musical",7.5,12804
52,tt0023042,movie,I Am a Fugitive from a Chain Gang,1932,92,"Crime,Drama,Film-Noir",8.2,13392
53,tt0023238,movie,The Most Dangerous Game,1932,63,"Action,Adventure,Horror",7.1,12653
54,tt0023245,movie,The Mummy,1932,73,"Fantasy,Horror",7.0,27347
55,tt0023293,movie,The Old Dark House,1932,72,"Adventure,Comedy,Drama",7.0,11326
56,tt0023427,movie,Scarface,1932,93,"Action,Crime,Drama",7.7,28266
57,tt0023563,movie,The Testament of Dr. Mabuse,1933,122,"Crime,Mystery,Thriller",7.9,12757
58,tt0023622,movie,Trouble in Paradise,1932,83,"Comedy,Crime,Romance",8.0,14907
59,tt0023649,movie,Vampyr,1932,75,"Fantasy,Horror",7.4,18662
60,tt0023694,movie,White Zombie,1932,69,Horror,6.3,10768
61,tt0023969,movie,Duck Soup,1933,69,"Comedy,Musical",7.8,60363
62,tt0024034,movie,42nd Street,1933,89,"Comedy,Drama,Musical",7.3,12154
63,tt0024184,movie,The Invisible Man,1933,71,"Horror,Sci-Fi",7.6,35871
64,tt0024216,movie,King Kong,1933,100,"Adventure,Horror,Sci-Fi",7.9,85983
65,tt0024844,movie,L'Atalante,1934,89,"Comedy,Drama,Romance",7.8,16159
66,tt0024894,movie,The Black Cat,1934,65,"Adventure,Crime,Horror",6.9,11594
67,tt0025316,movie,It Happened One Night,1934,105,"Comedy,Romance",8.1,104258
68,tt0025452,movie,The Man Who Knew Too Much,1934,75,"Crime,Mystery,Thriller",6.7,19408
69,tt0025878,movie,The Thin Man,1934,91,"Comedy,Mystery",7.9,30110
70,tt0025913,movie,The Triumph of the Will,1935,114,"Documentary,History",7.2,17448
71,tt0026029,movie,The 39 Steps,1935,86,"Crime,Mystery,Thriller",7.6,57461
72,tt0026138,movie,The Bride of Frankenstein,1935,75,"Drama,Horror,Sci-Fi",7.8,49014
73,tt0026174,movie,Captain Blood,1935,119,"Action,Adventure,History",7.7,14602
74,tt0026752,movie,Mutiny on the Bounty,1935,132,"Adventure,Biography,Drama",7.7,23242
75,tt0026778,movie,A Night at the Opera,1935,96,"Comedy,Music,Musical",7.8,33101
76,tt0027125,movie,Top Hat,1935,101,"Comedy,Musical,Romance",7.7,19381
77,tt0027260,movie,After the Thin Man,1936,112,"Comedy,Crime,Mystery",7.6,11166
78,tt0027652,movie,Fury,1936,92,"Crime,Drama,Film-Noir",7.9,12768
79,tt0027977,movie,Modern Times,1936,87,"Comedy,Drama,Romance",8.5,242072
80,tt0027996,movie,Mr. Deeds Goes to Town,1936,115,"Comedy,Drama,Romance",7.8,21798
81,tt0028010,movie,My Man Godfrey,1936,94,"Comedy,Drama,Romance",8.0,24118
82,tt0028096,movie,The Petrified Forest,1936,82,"Drama,Thriller",7.5,14034
83,tt0028212,movie,Sabotage,1936,76,"Crime,Thriller",7.0,17189
84,tt0028333,movie,Swing Time,1936,103,"Comedy,Musical,Romance",7.5,13818
85,tt0028597,movie,The Awful Truth,1937,90,"Comedy,Romance",7.7,19809
86,tt0028772,movie,A Day at the Races,1937,111,"Comedy,Family,Musical",7.5,13919
87,tt0028950,movie,The Grand Illusion,1937,113,"Drama,War",8.1,36872
88,tt0029162,movie,Lost Horizon,1937,132,"Adventure,Drama,Fantasy",7.6,13405
89,tt0029284,movie,My Favorite Wife,1940,88,"Comedy,Romance",7.3,10733
90,tt0029583,movie,Snow White and the Seven Dwarfs,1937,83,"Adventure,Animation,Family",7.6,199887
91,tt0029843,movie,The Adventures of Robin Hood,1938,102,"Action,Adventure,Romance",7.9,51372
92,tt0029850,movie,Alexander Nevsky,1938,112,"Action,Biography,Drama",7.5,11524
93,tt0029870,movie,Angels with Dirty Faces,1938,97,"Crime,Drama,Film-Noir",7.9,21811
94,tt0029947,movie,Bringing Up Baby,1938,102,Comedy,7.8,61907
95,tt0030241,movie,Holiday,1938,95,"Comedy,Romance",7.7,16499
96,tt0030287,movie,Jezebel,1938,104,"Drama,Romance",7.4,13771
97,tt0030341,movie,The Lady Vanishes,1938,96,"Mystery,Thriller",7.8,53037
98,tt0030993,movie,You Can't Take It with You,1938,126,"Comedy,Drama,Romance",7.8,26074
99,tt0031210,movie,Dark Victory,1939,104,"Drama,Romance",7.5,11409
100,tt0031225,movie,Destry Rides Again,1939,95,"Comedy,Western",7.6,11737
101,tt0031381,movie,Gone with the Wind,1939,238,"Drama,Romance,War",8.2,315343
102,tt0031385,movie,"Goodbye, Mr. Chips",1939,114,"Drama,Romance",7.9,10801
103,tt0031398,movie,Gunga Din,1939,117,"Adventure,Comedy,War",7.2,12122
104,tt0031448,movie,The Hound of the Baskervilles,1939,80,"Crime,Horror,Mystery",7.4,10678
105,tt0031455,movie,The Hunchback of Notre Dame,1939,117,"Drama,Romance",7.8,11522
106,tt0031505,movie,Jamaica Inn,1939,108,"Adventure,Crime",6.3,10322
107,tt0031679,movie,Mr. Smith Goes to Washington,1939,129,"Comedy,Drama",8.1,115960
108,tt0031725,movie,Ninotchka,1939,110,"Comedy,Romance",7.8,21289
109,tt0031762,movie,Only Angels Have Wings,1939,121,"Adventure,Drama,Romance",7.6,14415
110,tt0031867,movie,The Roaring Twenties,1939,106,"Crime,Drama,Film-Noir",7.9,14254
111,tt0031885,movie,The Rules of the Game,1939,110,"Comedy,Drama",7.9,29263
112,tt0031951,movie,Son of Frankenstein,1939,99,"Drama,Horror,Sci-Fi",7.1,10548
113,tt0031971,movie,Stagecoach,1939,96,"Adventure,Drama,Western",7.8,49427
114,tt0032138,movie,The Wizard of Oz,1939,102,"Adventure,Family,Fantasy",8.1,398839
115,tt0032143,movie,The Women,1939,133,"Comedy,Drama",7.7,14028
116,tt0032145,movie,Wuthering Heights,1939,104,"Drama,Romance",7.5,18361
117,tt0032455,movie,Fantasia,1940,125,"Animation,Family,Fantasy",7.7,96998
118,tt0032484,movie,Foreign Correspondent,1940,120,"Action,Romance,Thriller",7.5,21210
119,tt0032551,movie,The Grapes of Wrath,1940,129,Drama,8.1,93581
120,tt0032553,movie,The Great Dictator,1940,125,"Comedy,Drama,War",8.4,223802
121,tt0032599,movie,His Girl Friday,1940,92,"Comedy,Drama,Romance",7.8,59109
122,tt0032701,movie,The Letter,1940,95,"Crime,Drama,Film-Noir",7.6,13376
123,tt0032762,movie,The Mark of Zorro,1940,94,"Action,Adventure,Family",7.5,10300
124,tt0032904,movie,The Philadelphia Story,1940,112,"Comedy,Romance",7.9,69657
125,tt0032910,movie,Pinocchio,1940,88,"Adventure,Animation,Comedy",7.5,147462
126,tt0032976,movie,Rebecca,1940,130,"Drama,Film-Noir,Mystery",8.1,137554
127,tt0033028,movie,The Sea Hawk,1940,127,"Action,Adventure,History",7.6,10011
128,tt0033045,movie,The Shop Around the Corner,1940,99,"Comedy,Drama,Romance",8.0,33439
129,tt0033152,movie,The Thief of Bagdad,1940,106,"Adventure,Family,Fantasy",7.4,13447
130,tt0033238,movie,Waterloo Bridge,1940,108,"Drama,Romance,War",7.7,10195
